Address,Building,Organization
萧山区,明怡花苑,浙江旅游职业学院
杭州市,心意广场,浙江建设职业技术学院
浙江省,佳丰北苑,浙江同济科技职业学院
宁围镇,宁安社区,浙江师范大学萧山校区
北干街道,湘湖家园,戈雅公寓夏风园
萧山经济技术开发区,农业大厦,杭州湾信息港
城厢街道,崇化小区,锐鹰电商园
瓜沥镇,顺丰家园,顺发和美家
新塘街道,广元公寓,中港电子商务园
闻堰镇,丰瑞北苑,湘湖人家中鼎苑
新街镇,郁金香岸,浙江民营企业发展大厦
蜀山街道,宁税社区,启恩教育
义桥镇,金二社区,雷迪森财富中心
临浦镇,江宁大厦,汉帛国际
金城路,金一社区,钱江农场钱农
义蓬街道,佳丰南苑,戈雅公寓春雨园
靖江街道,宁安大厦,颐高数码广场
市心北路,帝凯大厦,恒源国际财富中心
衙前镇,戈雅公寓,初级中学
河庄街道,汇通大厦,浙江同济科技职业技术学院
南阳街道,商会大厦,南岸花城枫江苑
所前镇,中誉万豪广场,潮锦文化创意园
临江街道,银隆百货,萧山商会大厦
鸿兴路,半岛花园,流星休闲阁
党湾镇,广德小区,杭州康利达卫浴有限公司
浙江,知稼苑,三水一生
新湾街道,靖安小区,国际商务中心
益农镇,佳境天城人合苑,保利霞飞郡
进化镇,育才东苑,请保管好寄出的快递底单哦
建设一路,钱江农场,萧钢构新厂
建设二路,单身公寓,杰司特健身会所
浦阳镇,恒隆广场,威尼斯水城
市心中路,潘水小区,中粮云涛名苑
河上镇,荣星南苑,恒逸南岸明珠
戴村镇,宁东北苑,潮锦文化创意产业园
党山镇,绿都百瑞广场,荣昌磁业有限公司
风情大道,城中社区,杭州萧山国际机场员工宿舍
鸿达路,汇宇花园,社区卫生服务中心
人民路,泰富广场,凯淳科技
萧山高教园区,广泽小区,杭州萧山国际机场贵宾岗亭
通惠北路,相墅花园,加州阳光三楼猪队长
建设四路,南市花园,丰树物流园区
育才路,水务大厦,兽王电商产业园
建设三路,海杰德大厦,湘湖人家谷丰苑
工业园区,回澜南苑,杭州新生印染有限公司
临江工业园区,蓝领公寓,东方世纪中心
振宁路,生活广场,凯丰洁具厂
耕文路,金域三江,三水公寓
高教园区,开元加州大厦,杭州金丝源时装有限公司
金惠路,山河花园,弘丰电子配件有限公司
经济开发区,广宁小区,北干永久公寓朱家埭
前进街,天辰国际广场,编码。麻烦各位供应商配合
萧绍路,明辉花园,德圣博奥城
坎山镇,太古广场,（内附清单。买家留言里的
民和路,佳境天城佳合苑,浙江体育职业技术学院
二桥村,隐龙湾,（拒收速尔，内附发货单或收据，单据抬头恒世通）
金鸡路,开元广场,华瑞中心
楼塔镇,明意公寓,顺发旺角城
金一路,恒安名座,恒泰御庭园
前进街道,育才西苑,原野汽配五金市场
城厢镇,新白马公寓,春和钱塘
靖江镇,华利尔,农贸市场
新华村,学林尚苑,中心幼儿园
工人路,江南明城,人民政府
飞虹路,华瑞晴庐,浙江旅游职业技术学院
新湾镇,天林广场,新益佳超市
南秀路,商城东苑,东风裕隆员工宿舍
桥南区,潘水南苑,卫生服务站
市心南路,文源广场,戈雅公寓秋云园
河庄镇,佳境天城成合苑,蓝爵国际写字楼
通惠中路,佳境天城境合苑,国辰机器人研究院
山阴路,绿都世贸广场,加州阳光单身公寓
文化路,市心广场,锐鹰电商园区栋
湘湖路,星都花园,好又多超市
萧山经济开发区,永泰丰广场,顺发堤香名苑
南阳镇,众安花园,双兔新材料有限公司
亚太路,江南摩卡小区,开元旅业市北后勤基地
拱秀路,绿都泰富广场,西大坦启盈国际快件中心
义蓬镇,嘉富广场,德意空港国际
新安村,开元名都小区,退换货时写好陈洁签收，订单编号、淘宝
杭州,宁都花园,商品信息等相关资料，已方便退换货，不支持运费到付
新盛村,凤凰南苑,杭州依维柯汽车变速器有限公司
城区,新南郡嘉苑,禾声科技
杭州萧山,潘水苑,奥兰多小镇揽亭苑
钱江世纪城,洄澜南苑,易淘电子商务园
文明路,宏河嘉园,北干二苑山阴小区
萧绍东路,荣星东苑,南江商业中心
桥南开发区,万向生活区,联合中心
桥园路,名仁家园,老火车站老岳庙地下通道口萧西实验学校
启迪路,丰瑞南苑,艾巴饮品店
通惠南路,金色钱塘小区,广利大厦地下自行车库。7天无理由拒收平邮
晨晖路,蓝爵国际,代码写在发货单上或运单上，否则拒收）【拒收速尔快递】
新农村,三江花园浦阳苑,金元大建设控股有限公司
开发区,名城大厦,梅花楼万众名府
萧山,加州阳光城市生活广场,保亿中心
宁东路,民企大厦,打单部外贸部订单
工业区,绿洲嘉园,红十五线与保税大道交叉口圆通速递仓库
萧金路,加州阳光小区,集宝园
衙前路,湘湖南苑,湘湖人家湖畔苑
万达中路,金瑞大厦,中心小学
商业城,黄家河社区,欧色时装
东莞市,圣和花园,航民百泰有限公司
五联村,钱江电声,柏丽轩
高桥小区,佳境天城天合苑,，浙江建设职业技术学院
萧然东路,众安·隐龙湾,郭村斯诺曼车圈有限公司
宁牧村,顺发江南丽锦,金马金致酒店
宁东社区,广元小区,航民村员工公寓二期速递易
顺坝村,金苑大厦,跨境贸易电子商务园
萧山空港经济区,家景园,社区卫生服务站
广东省,广和公寓,来苏周村大沿组（老村委桥下小店）
萧山商业城,明怡花园,萧山国际机场员工宿舍
新螺路,汇锦名店广场,健盛集团
红山农场,和美家小区,面单无备注的数字，一律拒签
东灵路,德意中兴广场,名称和订单编号和换的型号
临江工业园,建工发展广场,财力物资有限公司
北干一苑,明华花园,（周日休息）
经济技术开发区,如意公寓,第九高级中学
万达北路,盛都苑,小商品市场
长安村,盛达名苑,编码必须在运单和清单上出现）（不要发优速）
霞江村,戚家池社区,杭州兴农纺织有限公司
兴议村,都市阳光,绿城丁香公馆
富民路,下潦社区,新白马公寓
工业园,郁金香岸小区,体育职业技术学院
高新九路,金浦明苑,浙江医药技术学校
梅林大道,怡景公寓,第一小学
万达路,祥瑞家园,锐鹰电子商务园
同兴村,龙发花园,国税局
黄山村,金鹭银座,东隆化纤厂
瓜港三路,传化公寓,大成名作小去三栋
春潮路,柠檬公寓,通惠丽港公寓
兴九路,鸿港华庭,办公室
永久路,广悦公寓,众安嘉润公馆
宁新村,商贸公寓,第三人民医院
万向路,国丰大厦,建设职业技术学院
金色钱塘,山阴小区,淘款基地九栋二楼
高新十路,市北公寓,凯丽晶座四栋
西河路,西湘公寓,瑞鹰电商园区
阳城路,南江公寓,众安国泰花园
育才北路,黎明社区,工商银行
宁围街道,荣盛小区,金丝源时装
潘水路,星悦湾小区,往南到底，杭州金丝源时装
北塘路,东门公寓,萧山交通国税局一楼物业
新丰村,怡佳公寓,国道旁恒通钢构
浙东村,永盛家园,社区华莺纺织
元沙村,回澜北苑,韩戴村振旺绣品旁边经编厂
友谊路,中冠置地大厦,办事服务中心
崇化路,黎明苑,对面欣良仓储（必须把留言上的
沈家里路,广和小区,编码标注在快递面单和货包装上，拒收速尔和到付）
，萧山区,井泉苑,有限公司
纬五路,和美家,开元加州阳光
通惠路,林之语清露苑,豪手机店
泰和花园,金域三江小区,鸿兴城巧克力公馆
西许村,高田社区,浙江同济科技学院
体育路,凯悦花园,南勤公寓速递易
高桥路,城建公寓,御庭园
闻兴路,开元加州阳光小区,浙江杭州萧山区宁围镇旅游职业学院北校区
王家里,钱民花苑,顺发旺角城金座
新塘头村,隆园小区,巧克力公馆
南环路,通惠丽港小区,恒逸高新材料有限公司
红阳路,华蔚大厦,红山农场红山大道
林之语,广仁小区,林之语流翠苑
东瑞四路,金凌花园,京明凤凰家园
海塘路,同和公寓,请勿使用到付和平邮）
东方路,西江塘小区,杭州杭发发电设备有限公司
商城南路,金帝文源广场,文体中心
新城路,金马公寓,柳桥家纺旁世纪名剪
峙山北路,嘉瑞广场,三水一生小区
